"V1" "V2" "V3"
"128" "Trpc4" "Trpc4" "Trpc4"
"129" "Zfp467" "Zfp467" "Zfp467"
"130" "Ethe1" "Ethe1" "Ethe1"
"131" "Hgfac" "Hgfac" "Hgfac"
"132" "Ror1" "Ror1" "Ror1"
"133" "Igf1" "Igf1" "Igf1"
"134" "Psmd6" "Psmd6" "Psmd6"
"135" "Hdac5" "Hdac5" "Hdac5"
"136" "Tmeff2" "Tmeff2" "Tmeff2"
"137" "Ikbkap" "Ikbkap" "Ikbkap"
"138" "Akr1d1" "Akr1d1" "Akr1d1"
"139" "Mc1r" "Mc1r" "Mc1r"
"140" "Zfp26" "Zfp26" "Zfp26"
"141" "Esr2" "Esr2" "Esr2"
"142" "Tubb3" "Tubb3" "Tubb3"
"143" "" "Serpinb10" "SERPINB10"
"144" "Usp37" "Usp37" "Usp37"
"145" "Iqcc" "Iqcc" "Iqcc"
"146" "Ccl21c" "Ccl21b" "Ccl21c"
"147" "Plekha7" "Plekha7" "Plekha7"
"148" "Oit3" "Oit3" "Oit3"
"149" "Tnnc2" "Tnnc2" "Tnnc2"
"150" "Htr5a" "Htr5a" "Htr5a"
"151" "Nagk" "Nagk" "Nagk"
"152" "Dnm3" "Dnm3" "Dnm3"
"153" "Klhl4" "Klhl4" "Klhl4"
"154" "" "AA792892" "AA792892"
"155" "Lypd3" "Lypd3" "Lypd3"
"156" "Insig1" "Insig1" "Insig1"
"157" "Rbm18" "Rbm18" "Rbm18"
"158" "Tex101" "Tex101" "Tex101"
"159" "Crhr2" "Crhr2" "Crhr2"
"160" "Smcr8" "Smcr8" "Smcr8"
"161" "Bbs10" "Bbs10" "Bbs10"
"162" "Sema3d" "Sema3d" "Sema3d"
"163" "Slc32a1" "Slc32a1" "Slc32a1"
"164" "Zfp536" "Zfp536" "Zfp536"
"165" "Bmp2" "Bmp2" "Bmp2"
"166" "Golga2" "Golga2" "Golga2"
"167" "Mrpl49" "Mrpl49" "Mrpl49"
"168" "Hcfc1r1" "Hcfc1r1" "Hcfc1r1"
"169" "Nap1l1" "Nap1l1" "Nap1l1"
"170" "Anxa8" "Anxa8" "Anxa8"
"171" "Mmp7" "Mmp7" "Mmp7"
"172" "Coq2" "Coq2" "Coq2"
"173" "Acta2" "Acta2" "Acta2"
"174" "Fau" "Fau" "Fau"
"175" "Guca1b" "Guca1b" "Guca1b"
"176" "Shmt1" "Shmt1" "Shmt1"
"177" "Galk2" "Galk2" "Galk2"
"178" "Tnfrsf12a" "Tnfrsf12a" "Tnfrsf12a"
"179" "Sdpr" "Sdpr" "Sdpr"
"180" "Trim24" "Trim24" "Trim24"
"181" "Rtn4r" "Rtn4r" "Rtn4r"
"182" "Znhit2" "Znhit2" "Znhit2"
"183" "Triap1" "Triap1" "Triap1"
"184" "Def8" "Def8" "Def8"
"185" "Cldn6" "Cldn6" "Cldn6"
"186" "Guca1a" "Guca1a" "Guca1a"
"187" "Hap1" "Hap1" "Hap1"
"188" "Fas" "Fas" "Fas"
"189" "Syt13" "Syt13" "Syt13"
"190" "Ankrd9" "Ankrd9" "Ankrd9"
"191" "Zdhhc8" "Zdhhc8" "Zdhhc8"
"192" "Tbc1d9" "Tbc1d9" "Tbc1d9"
"193" "Tpcn1" "Tpcn1" "Tpcn1"
"194" "Il17d" "Il17d" "Il17d"
"195" "Tm7sf2" "Tm7sf2" "Tm7sf2"
"196" "Cox6a1" "Cox6a1" "Cox6a1"
"197" "Cldn9" "Cldn9" "Cldn9"
"198" "Psrc1" "Psrc1" "Psrc1"
"199" "Errfi1" "Errfi1" "Errfi1"
"200" "Pkmyt1" "Pkmyt1" "Pkmyt1"
"201" "Kcnj8" "Kcnj8" "Kcnj8"
"202" "1700001C19Rik" "1700001C19Rik" "1700001C19Rik"
"203" "Glt8d1" "Glt8d1" "Glt8d1"
"204" "Rhox5" "Rhox5" "Rhox5"
"205" "Treh" "Treh" "Treh"
"206" "Smpd3" "Smpd3" "Smpd3"
"207" "Rhox6" "Rhox6" "Rhox6"
"208" "Ch25h" "Ch25h" "Ch25h"
"209" "Stx18" "Stx18" "Stx18"
"210" "Paqr4" "Paqr4" "Paqr4"
"211" "Ranbp1" "Ranbp1" "Ranbp1"
"212" "Cpxcr1" "Cpxcr1" "Cpxcr1"
"213" "Enpp2" "Enpp2" "Enpp2"
"214" "Kremen2" "Kremen2" "Kremen2"
"215" "Msi1" "Msi1" "Msi1"
"216" "AI661453" "AI661453" "AI661453"
"217" "Chrm5" "Chrm5" "Chrm5"
"218" "A3galt2" "A3galt2" "A3galt2"
"219" "Aven" "Aven" "Aven"
"220" "Zfp90" "Zfp90" "Zfp90"
"221" "Flywch1" "Flywch1" "Flywch1"
"222" "Myl2" "Myl2" "Myl2"
"223" "Grap2" "Grap2" "Grap2"
"224" "Dcst1" "Dcst1" "Dcst1"
"225" "Sema3a" "Sema3a" "Sema3a"
"226" "Omp" "Omp" "Omp"
"227" "Pabpc5" "Pabpc5" "Pabpc5"
"228" "Abcc9" "Abcc9" "Abcc9"
"229" "Zcchc11" "Zcchc11" "Zcchc11"
"230" "B3gnt6" "B3gnt6" "B3gnt6"
"231" "Nme6" "Nme6" "Nme6"
"232" "Csnk1d" "Csnk1d" "Csnk1d"
"233" "Dhh" "Dhh" "Dhh"
"234" "Adrb2" "Adrb2" "Adrb2"
"235" "Cd177" "Cd177" "Cd177"
"236" "Slc41a1" "Slc41a1" "Slc41a1"
"237" "Pcdh11x" "Pcdh11x" "Pcdh11x"
"238" "Hmbox1" "Hmbox1" "Hmbox1"
"239" "Htr4" "Htr4" "Htr4"
"240" "Cpne4" "Cpne4" "Cpne4"
"241" "Tnrc6b" "Tnrc6b" "Tnrc6b"
"242" "Srrm2" "Srrm2" "Srrm2"
"243" "Acaca" "Acaca" "Acaca"
"244" "Pygo1" "Pygo1" "Pygo1"
"245" "Dhrs7b" "Dhrs7b" "Dhrs7b"
"246" "Lmbr1l" "Lmbr1l" "Lmbr1l"
"247" "Dbx1" "Dbx1" "Dbx1"
"248" "Tex12" "Tex12" "Tex12"
"249" "6430571L13Rik" "6430571L13Rik" "6430571L13Rik"
"250" "Nap1l3" "Nap1l3" "Nap1l3"
"251" "Lig4" "Lig4" "Lig4"
"252" "Tnfrsf1a" "Tnfrsf1a" "Tnfrsf1a"
"253" "Cradd" "Cradd" "Cradd"
"254" "Bcl2l2" "Bcl2l2" "Bcl2l2"
"255" "Srpx" "Srpx" "Srpx"
"256" "Il18" "Il18" "Il18"
"257" "4922501C03Rik" "4922501C03Rik" "4922501C03Rik"
"258" "Htatip2" "Htatip2" "Htatip2"
"259" "Hpse" "Hpse" "Hpse"
"260" "Rab7l1" "Rab7l1" "Rab7l1"
"261" "Rqcd1" "Rqcd1" "Rqcd1"
