"V1" "V2" "V3"
"3071" "Zfp326" "Zfp326" "Zfp326"
"3072" "Pla2g2a" "Pla2g2a" "Pla2g2a"
"3073" "Frmd4a" "Frmd4a" "Frmd4a"
"3074" "4930578C19Rik" "4930578C19Rik" "4930578C19Rik"
"3075" "Zfp446" "Zfp446" "Zfp446"
"3076" "Neurod1" "Neurod1" "Neurod1"
"3077" "Dgkg" "Dgkg" "Dgkg"
"3078" "Sh2b2" "Sh2b2" "Sh2b2"
"3079" "Gspt1" "Gspt1" "Gspt1"
"3080" "Abca15" "Abca15" "Abca15"
"3081" "Rev3l" "Rev3l" "Rev3l"
"3082" "Rap1gds1" "Rap1gds1" "Rap1gds1"
"3083" "Trim35" "Trim35" "Trim35"
"3084" "Trpm2" "Trpm2" "Trpm2"
"3085" "Dhrs7c" "Dhrs7c" "Dhrs7c"
"3086" "Adamts7" "Adamts7" "Adamts7"
"3087" "Axl" "Axl" "Axl"
"3088" "Ypel2" "Ypel2" "Ypel2"
"3089" "Esrra" "Esrra" "Esrra"
"3090" "Pdcd2" "Pdcd2" "Pdcd2"
"3091" "Olfr1024" "Olfr1024" "Olfr1024"
"3092" "Cys1" "Cys1" "Cys1"
"3093" "Gm648" "Gm648" "Gm648"
"3094" "Dennd1c" "Dennd1c" "Dennd1c"
"3095" "Rnase13" "Rnase13" "Rnase13"
"3096" "Chst7" "Chst7" "Chst7"
"3097" "Coq10b" "Coq10b" "Coq10b"
"3098" "Ykt6" "Ykt6" "Ykt6"
"3099" "Gdpd1" "Gdpd1" "Gdpd1"
"3100" "Gnptg" "Gnptg" "Gnptg"
"3101" "Tyk2" "Tyk2" "Tyk2"
"3102" "Alkbh3" "Alkbh3" "Alkbh3"
"3103" "Usp43" "Usp43" "Usp43"
"3104" "Cd300a" "Cd300a" "Cd300a"
"3105" "Col4a6" "Col4a6" "Col4a6"
"3106" "Prdm9" "Prdm9" "Prdm9"
"3107" "Ebna1bp2" "Ebna1bp2" "Ebna1bp2"
"3108" "Phf13" "Phf13" "Phf13"
"3109" "Slc9a7" "Slc9a7" "Slc9a7"
"3110" "Kcnk4" "Kcnk4" "Kcnk4"
"3111" "Foxk2" "Foxk2" "Foxk2"
"3112" "Rrm2" "Rrm2" "Rrm2"
"3113" "A4gnt" "A4gnt" "A4gnt"
"3114" "Slc27a5" "Slc27a5" "Slc27a5"
"3115" "Wdhd1" "Wdhd1" "Wdhd1"
"3116" "Cdk5rap2" "Cdk5rap2" "Cdk5rap2"
"3117" "Mon2" "Mon2" "Mon2"
"3118" "Amica1" "Amica1" "Amica1"
"3119" "Ninj2" "Ninj2" "Ninj2"
"3120" "3230401D17Rik" "3230401D17Rik" "3230401D17Rik"
"3121" "Taok3" "Taok3" "Taok3"
"3122" "Pkd1l3" "Pkd1l3" "Pkd1l3"
"3123" "Wdr82" "Wdr82" "Wdr82"
"3124" "Gnat1" "Gnat1" "Gnat1"
"3125" "Ercc5" "Ercc5" "Ercc5"
"3126" "Tnfsf9" "Tnfsf9" "Tnfsf9"
"3127" "Nts" "Nts" "Nts"
"3128" "Galnt6" "Galnt6" "Galnt6"
"3129" "Nit1" "Nit1" "Nit1"
"3130" "Gpr137" "Gpr137" "Gpr137"
"3131" "Klhl21" "Klhl21" "Klhl21"
"3132" "Sema3f" "Sema3f" "Sema3f"
"3133" "Tnfsf14" "Tnfsf14" "Tnfsf14"
"3134" "Kcnk1" "Kcnk1" "Kcnk1"
"3135" "Olfr1026" "Olfr1026" "Olfr1026"
"3136" "Hspd1" "Hspd1" "Hspd1"
"3137" "Ncoa3" "Ncoa3" "Ncoa3"
"3138" "Crygs" "Crygs" "Crygs"
"3139" "Mboat2" "Mboat2" "Mboat2"
"3140" "Bola1" "Bola1" "Bola1"
"3141" "Spic" "Spic" "Spic"
"3142" "Endod1" "Endod1" "Endod1"
"3143" "Slc35f3" "Slc35f3" "Slc35f3"
"3144" "Tmod3" "Tmod3" "Tmod3"
"3145" "Tnfrsf17" "Tnfrsf17" "Tnfrsf17"
"3146" "Chrnb2" "Chrnb2" "Chrnb2"
"3147" "B4galnt3" "B4galnt3" "B4galnt3"
"3148" "Slc9a6" "Slc9a6" "Slc9a6"
"3149" "Srgap3" "Srgap3" "Srgap3"
"3150" "Tbccd1" "Tbccd1" "Tbccd1"
"3151" "Wdr16" "Wdr16" "Wdr16"
"3152" "Clic4" "Clic4" "Clic4"
"3153" "C3" "C3" "C3"
"3154" "Chd1" "Chd1" "Chd1"
"3155" "Tssc4" "Tssc4" "Tssc4"
"3156" "Rgs6" "Rgs6" "Rgs6"
"3157" "Btf3l4" "Btf3l4" "Btf3l4"
"3158" "Cd5l" "Cd5l" "Cd5l"
"3159" "Baiap3" "Baiap3" "Baiap3"
"3160" "Prr11" "Prr11" "Prr11"
"3161" "Zbtb45" "Zbtb45" "Zbtb45"
"3162" "Mrpl20" "Mrpl20" "Mrpl20"
"3163" "Dzip1l" "Dzip1l" "Dzip1l"
"3164" "Kcnc3" "Kcnc3" "Kcnc3"
"3165" "Mat2b" "Mat2b" "Mat2b"
"3166" "Mapre2" "Mapre2" "Mapre2"
"3167" "Dnajb11" "Dnajb11" "Dnajb11"
"3168" "Fcrl1" "Fcrl1" "Fcrl1"
"3169" "Rbks" "Rbks" "Rbks"
"3170" "Dpf3" "Dpf3" "Dpf3"
"3171" "Setd6" "Setd6" "Setd6"
"3172" "Olfml3" "Olfml3" "Olfml3"
"3173" "Pfdn2" "Pfdn2" "Pfdn2"
"3174" "Olfr1030" "Olfr1030" "Olfr1030"
"3175" "Tank" "Tank" "Tank"
"3176" "Gdap1l1" "Gdap1l1" "Gdap1l1"
"3177" "Cyr61" "Cyr61" "Cyr61"
"3178" "Kcnq1" "Kcnq1" "Kcnq1"
"3179" "Tmod2" "Tmod2" "Tmod2"
"3180" "Stmn4" "Stmn4" "Stmn4"
"3181" "Pkp1" "Pkp1" "Pkp1"
"3182" "Nsun4" "Nsun4" "Nsun4"
"3183" "Scamp4" "Scamp4" "Scamp4"
"3184" "Ahsg" "Ahsg" "Ahsg"
"3185" "Ddah1" "Ddah1" "Ddah1"
"3186" "Ckmt2" "Ckmt2" "Ckmt2"
"3187" "Stx8" "Stx8" "Stx8"
"3188" "Hist2h3c2" "Hist2h3c2" "Hist2h3c2"
"3189" "Hist2h3c2" "Hist1h3f" "Hist2h3c2"
"3190" "Parp12" "Parp12" "Parp12"
"3191" "Camk2b" "Camk2b" "Camk2b"
"3192" "Tor1b" "Tor1b" "Tor1b"
"3193" "Csnk1g2" "Csnk1g2" "Csnk1g2"
"3194" "Yars" "Yars" "Yars"
"3195" "Pax6" "Pax6" "Pax6"
"3196" "Gpr113" "Gpr113" "Gpr113"
"3197" "Fetub" "Fetub" "Fetub"
"3198" "Myh14" "Myh14" "Myh14"
"3199" "Tomm20" "Tomm20" "Tomm20"
"3200" "Rps6" "Rps6" "Rps6"
"3201" "Amotl1" "Amotl1" "Amotl1"
"3202" "4930529M08Rik" "4930529M08Rik" "4930529M08Rik"
"3203" "Pvrl4" "Pvrl4" "Pvrl4"
"3204" "Trim37" "Trim37" "Trim37"
"3205" "Ebf4" "Ebf4" "Ebf4"
"3206" "Bad" "Bad" "Bad"
"3207" "Id2" "Id2" "Id2"
"3208" "Opn1sw" "Opn1sw" "Opn1sw"
"3209" "Slc4a8" "Slc4a8" "Slc4a8"
"3210" "Hrg" "Hrg" "Hrg"
"3211" "Cct7" "Cct7" "Cct7"
"3212" "Uqcrc2" "Uqcrc2" "Uqcrc2"
"3213" "Cyp2s1" "Cyp2s1" "Cyp2s1"
"3214" "Pcgf2" "Pcgf2" "Pcgf2"
"3215" "Lysmd2" "Lysmd2" "Lysmd2"
"3216" "Col4a5" "Col4a5" "Col4a5"
"3217" "Nid2" "Nid2" "Nid2"
"3218" "Ntn1" "Ntn1" "Ntn1"
"3219" "Gulp1" "Gulp1" "Gulp1"
"3220" "Herc3" "Herc3" "Herc3"
"3221" "Efcab4b" "Efcab4b" "Efcab4b"
"3222" "Fcrl5" "Fcrl5" "Fcrl5"
"3223" "Hist2h2aa2" "Hist2h2aa1" "Hist2h2aa2"
"3224" "Ppm1m" "Ppm1m" "Ppm1m"
"3225" "Hspe1" "Hspe1" "Hspe1"
"3226" "Fdx1" "Fdx1" "Fdx1"
"3227" "Rp2h" "Rp2h" "Rp2h"
"3228" "Cpne6" "Cpne6" "Cpne6"
"3229" "Hist2h2aa1" "Hist2h2aa1" "Hist2h2aa1"
"3230" "Hipk1" "Hipk1" "Hipk1"
"3231" "Hist2h3c1" "Hist2h3c2" "Hist2h3c1"
"3232" "Hist2h3c1" "Hist1h3f" "Hist2h3c1"
"3233" "Etv3" "Etv3" "Etv3"
"3234" "Rsad2" "Rsad2" "Rsad2"
"3235" "Asna1" "Asna1" "Asna1"
"3236" "Rbm34" "Rbm34" "Rbm34"
"3237" "Kng2" "Kng2" "Kng2"
"3238" "Hgf" "Hgf" "Hgf"
"3239" "Cd300lb" "Cd300lb" "Cd300lb"
"3240" "Rdx" "Rdx" "Rdx"
"3241" "Fhl1" "Fhl1" "Fhl1"
"3242" "Olfr1043" "Olfr1043" "Olfr1043"
"3243" "Bcl10" "Bcl10" "Bcl10"
"3244" "Plcb3" "Plcb3" "Plcb3"
"3245" "4921504E06Rik" "4921504E06Rik" "4921504E06Rik"
"3246" "Wdr5" "Wdr5" "Wdr5"
"3247" "Pik3r5" "Pik3r5" "Pik3r5"
"3248" "Cfi" "Cfi" "Cfi"
"3249" "Rgmb" "Rgmb" "Rgmb"
"3250" "Chmp2a" "Chmp2a" "Chmp2a"
"3251" "Zfp397" "Zfp397" "Zfp397"
"3252" "Arhgap30" "Arhgap30" "Arhgap30"
"3253" "2410004B18Rik" "2410004B18Rik" "2410004B18Rik"
"3254" "Trpm7" "Trpm7" "Trpm7"
"3255" "Zc3h12c" "Zc3h12c" "Zc3h12c"
"3256" "Osbpl3" "Osbpl3" "Osbpl3"
"3257" "Ube2i" "Ube2i" "Ube2i"
"3258" "Txndc12" "Txndc12" "Txndc12"
"3259" "Ercc4" "Ercc4" "Ercc4"
"3260" "Ube2m" "Ube2m" "Ube2m"
"3261" "Zfp644" "Zfp644" "Zfp644"
"3262" "Arl1" "Arl1" "Arl1"
"3263" "Hs6st1" "Hs6st1" "Hs6st1"
"3264" "Riok2" "Riok2" "Riok2"
"3265" "Cdkn1c" "Cdkn1c" "Cdkn1c"
"3266" "Creb3" "Creb3" "Creb3"
"3267" "Slc35d2" "Slc35d2" "Slc35d2"
"3268" "Lrriq1" "Lrriq1" "Lrriq1"
"3269" "Gaa" "Gaa" "Gaa"
"3270" "Pla2g2e" "Pla2g2e" "Pla2g2e"
"3271" "Hist2h4" "Hist1h4i" "Hist2h4"
"3272" "Lix1" "Lix1" "Lix1"
"3273" "Hist2h3b" "Hist2h3c2" "Hist2h3b"
"3274" "Hist2h3b" "Hist1h3f" "Hist2h3b"
"3275" "Gm806" "Gm806" "Gm806"
"3276" "Asf1b" "Asf1b" "Asf1b"
"3277" "AI593442" "AI593442" "AI593442"
"3278" "2310036O22Rik" "2310036O22Rik" "2310036O22Rik"
"3279" "Cnot1" "Cnot1" "Cnot1"
"3280" "Hist2h2bb" "Hist2h2bb" "Hist2h2bb"
"3281" "Hmmr" "Hmmr" "Hmmr"
"3282" "Ddx10" "Ddx10" "Ddx10"
"3283" "Lsm10" "Lsm10" "Lsm10"
"3284" "Fcgr1" "Fcgr1" "Fcgr1"
"3285" "Usf1" "Usf1" "Usf1"
"3286" "She" "She" "She"
"3287" "Rhof" "Rhof" "Rhof"
"3288" "Slc22a18" "Slc22a18" "Slc22a18"
"3289" "Gnb4" "Gnb4" "Gnb4"
"3290" "Zfyve1" "Zfyve1" "Zfyve1"
"3291" "Tnpo2" "Tnpo2" "Tnpo2"
"3292" "Vsig2" "Vsig2" "Vsig2"
"3293" "Cyp2c70" "Cyp2c70" "Cyp2c70"
"3294" "Gpr108" "Gpr108" "Gpr108"
"3295" "Kng1" "Kng1" "Kng1"
"3296" "Lnpep" "Lnpep" "Lnpep"
"3297" "Tmem9" "Tmem9" "Tmem9"
"3298" "BC030500" "BC030500" "BC030500"
"3299" "Zfp35" "Zfp35" "Zfp35"
"3300" "Mzf1" "Mzf1" "Mzf1"
"3301" "Nrgn" "Nrgn" "Nrgn"
"3302" "Adra1a" "Adra1a" "Adra1a"
"3303" "Ppp1r14b" "Ppp1r14b" "Ppp1r14b"
"3304" "Fem1b" "Fem1b" "Fem1b"
"3305" "Zfp191" "Zfp191" "Zfp191"
"3306" "Setd2" "Setd2" "Setd2"
"3307" "Prss34" "Prss34" "Prss34"
"3308" "Spa17" "Spa17" "Spa17"
"3309" "Col3a1" "Col3a1" "Col3a1"
"3310" "BC030336" "BC030336" "BC030336"
"3311" "Mkl2" "Mkl2" "Mkl2"
"3312" "Fkbp2" "Fkbp2" "Fkbp2"
"3313" "Cln6" "Cln6" "Cln6"
"3314" "Bre" "Bre" "Bre"
"3315" "Arhgef11" "Arhgef11" "Arhgef11"
"3316" "Ghitm" "Ghitm" "Ghitm"
"3317" "Prss28" "Prss28" "Prss28"
"3318" "Gba2" "Gba2" "Gba2"
"3319" "Prss29" "Prss29" "Prss29"
"3320" "Setd1b" "Setd1b" "Setd1b"
"3321" "Mphosph10" "Mphosph10" "Mphosph10"
"3322" "Stard6" "Stard6" "Stard6"
"3323" "Sulf2" "Sulf2" "Sulf2"
"3324" "Otud3" "Otud3" "Otud3"
"3325" "Tpsab1" "Tpsab1" "Tpsab1"
"3326" "Aadat" "Aadat" "Aadat"
"3327" "F11r" "F11r" "F11r"
"3328" "4930510E17Rik" "4930510E17Rik" "4930510E17Rik"
"3329" "Exph5" "Exph5" "Exph5"
"3330" "6330408A02Rik" "6330408A02Rik" "6330408A02Rik"
"3331" "Siae" "Siae" "Siae"
"3332" "Dennd1a" "Dennd1a" "Dennd1a"
"3333" "Vegfb" "Vegfb" "Vegfb"
"3334" "Stk40" "Stk40" "Stk40"
"3335" "Tor1a" "Tor1a" "Tor1a"
"3336" "Sox11" "Sox11" "Sox11"
"3337" "Psmb3" "Psmb3" "Psmb3"
"3338" "Scn8a" "Scn8a" "Scn8a"
"3339" "Kdelc2" "Kdelc2" "Kdelc2"
"3340" "Sfpi1" "Sfpi1" "Sfpi1"
"3341" "Tpsg1" "Tpsg1" "Tpsg1"
"3342" "Slc4a3" "Slc4a3" "Slc4a3"
"3343" "Phf16" "Phf16" "Phf16"
"3344" "Cacna1s" "Cacna1s" "Cacna1s"
"3345" "Sorbs1" "Sorbs1" "Sorbs1"
"3346" "Ccdc77" "Ccdc77" "Ccdc77"
"3347" "Il6ra" "Il6ra" "Il6ra"
"3348" "Wnt16" "Wnt16" "Wnt16"
"3349" "Allc" "Allc" "Allc"
"3350" "4930550C14Rik" "4930550C14Rik" "4930550C14Rik"
"3351" "Uqcrh" "Uqcrh" "Uqcrh"
"3352" "Eif4a2" "Eif4a2" "Eif4a2"
"3353" "Srrm1" "Srrm1" "Srrm1"
"3354" "Has1" "Has1" "Has1"
"3355" "Cyp2a4" "Cyp2a4" "Cyp2a4"
"3356" "Ccdc42" "Ccdc42" "Ccdc42"
"3357" "Srebf2" "Srebf2" "Srebf2"
"3358" "Parn" "Parn" "Parn"
"3359" "Mcee" "Mcee" "Mcee"
"3360" "Mars2" "Mars2" "Mars2"
"3361" "Fpr1" "Fpr1" "Fpr1"
"3362" "Epha2" "Epha2" "Epha2"
"3363" "Aldh18a1" "Aldh18a1" "Aldh18a1"
"3364" "Nrg3" "Nrg3" "Nrg3"
"3365" "Dpm2" "Dpm2" "Dpm2"
"3366" "Gpr112" "Gpr112" "Gpr112"
"3367" "Poli" "Poli" "Poli"
"3368" "Boll" "Boll" "Boll"
"3369" "Fbxo41" "Fbxo41" "Fbxo41"
"3370" "Apba2" "Apba2" "Apba2"
"3371" "Cdc37" "Cdc37" "Cdc37"
"3372" "Rgn" "Rgn" "Rgn"
"3373" "Pard3" "Pard3" "Pard3"
"3374" "Tasp1" "Tasp1" "Tasp1"
"3375" "Lig1" "Lig1" "Lig1"
"3376" "Fpr-rs4" "Fpr-rs4" "Fpr-rs4"
"3377" "Colec11" "Colec11" "Colec11"
"3378" "Atm" "Atm" "Atm"
"3379" "Atp8b2" "Atp8b2" "Atp8b2"
"3380" "Pla2g12a" "Pla2g12a" "Pla2g12a"
"3381" "Galnt1" "Galnt1" "Galnt1"
"3382" "Dpysl2" "Dpysl2" "Dpysl2"
"3383" "Irs4" "Irs4" "Irs4"
"3384" "Hfm1" "Hfm1" "Hfm1"
"3385" "Nkiras2" "Nkiras2" "Nkiras2"
"3386" "Lrrc41" "Lrrc41" "Lrrc41"
"3387" "Bfar" "Bfar" "Bfar"
"3388" "Cacna1h" "Cacna1h" "Cacna1h"
"3389" "Brs3" "Brs3" "Brs3"
"3390" "Crip2" "Crip2" "Crip2"
"3391" "Rps7" "Rps7" "Rps7"
"3392" "Kti12" "Kti12" "Kti12"
"3393" "Gucy2f" "Gucy2f" "Gucy2f"
"3394" "Btbd2" "Btbd2" "Btbd2"
"3395" "Mfap3l" "Mfap3l" "Mfap3l"
"3396" "Rad51c" "Rad51c" "Rad51c"
"3397" "Phlda2" "Phlda2" "Phlda2"
"3398" "Cdkal1" "Cdkal1" "Cdkal1"
"3399" "Rnaseh1" "Rnaseh1" "Rnaseh1"
"3400" "Tnfrsf13c" "Tnfrsf13c" "Tnfrsf13c"
"3401" "Casc1" "Casc1" "Casc1"
"3402" "Htatsf1" "Htatsf1" "Htatsf1"
"3403" "Rps6ka1" "Rps6ka1" "Rps6ka1"
"3404" "Utp20" "Utp20" "Utp20"
"3405" "Dnajc4" "Dnajc4" "Dnajc4"
"3406" "Nudcd2" "Nudcd2" "Nudcd2"
"3407" "Vav1" "Vav1" "Vav1"
"3408" "Nr2c2" "Nr2c2" "Nr2c2"
"3409" "Nap1l4" "Nap1l4" "Nap1l4"
"3410" "Myh10" "Myh10" "Myh10"
"3411" "Hsd17b12" "Hsd17b12" "Hsd17b12"
"3412" "Adi1" "Adi1" "Adi1"
"3413" "Otud1" "Otud1" "Otud1"
"3414" "Crip1" "Crip1" "Crip1"
"3415" "Epha4" "Epha4" "Epha4"
"3416" "Calml4" "Calml4" "Calml4"
"3417" "Hpd" "Hpd" "Hpd"
"3418" "Pde4a" "Pde4a" "Pde4a"
"3419" "Prkaca" "Prkaca" "Prkaca"
"3420" "3110001I22Rik" "3110001I22Rik" "3110001I22Rik"
"3421" "Nudt22" "Nudt22" "Nudt22"
"3422" "Cenpm" "Cenpm" "Cenpm"
"3423" "Ccng1" "Ccng1" "Ccng1"
"3424" "Socs4" "Socs4" "Socs4"
"3425" "Mier3" "Mier3" "Mier3"
"3426" "Kcnq3" "Kcnq3" "Kcnq3"
"3427" "Pla2g10" "Pla2g10" "Pla2g10"
"3428" "1810043G02Rik" "1810043G02Rik" "1810043G02Rik"
"3429" "Pias1" "Pias1" "Pias1"
"3430" "Ly9" "Ly9" "Ly9"
"3431" "Lrrc6" "Lrrc6" "Lrrc6"
"3432" "2010001E11Rik" "2010001E11Rik" "2010001E11Rik"
"3433" "Eef2k" "Eef2k" "Eef2k"
"3434" "Ndufb11" "Ndufb11" "Ndufb11"
"3435" "Tex14" "Tex14" "Tex14"
"3436" "2700060E02Rik" "2700060E02Rik" "2700060E02Rik"
"3437" "Slc6a15" "Slc6a15" "Slc6a15"
"3438" "Sorcs2" "Sorcs2" "Sorcs2"
"3439" "Strap" "Strap" "Strap"
"3440" "Ap1g1" "Ap1g1" "Ap1g1"
"3441" "4930427A07Rik" "4930427A07Rik" "4930427A07Rik"
"3442" "Nxt2" "Nxt2" "Nxt2"
"3443" "Rrn3" "Rrn3" "Rrn3"
"3444" "Bst1" "Bst1" "Bst1"
"3445" "Slc4a1" "Slc4a1" "Slc4a1"
"3446" "Olfr1339" "Olfr1339" "Olfr1339"
"3447" "Pdha2" "Pdha2" "Pdha2"
"3448" "Lgals3" "Lgals3" "Lgals3"
"3449" "Scn2b" "Scn2b" "Scn2b"
"3450" "Rnf186" "Rnf186" "Rnf186"
"3451" "Tmem121" "Tmem121" "Tmem121"
"3452" "Ankrd33" "Ankrd33" "Ankrd33"
"3453" "Arid5a" "Arid5a" "Arid5a"
"3454" "Scg3" "Scg3" "Scg3"
"3455" "Casp6" "Casp6" "Casp6"
"3456" "Scn4b" "Scn4b" "Scn4b"
"3457" "Plcl1" "Plcl1" "Plcl1"
"3458" "Tmem71" "Tmem71" "Tmem71"
"3459" "Pax3" "Pax3" "Pax3"
"3460" "Fndc7" "Fndc7" "Fndc7"
"3461" "Ubr1" "Ubr1" "Ubr1"
"3462" "Ntan1" "Ntan1" "Ntan1"
"3463" "Hsfy2" "Hsfy2" "Hsfy2"
"3464" "Unc5c" "Unc5c" "Unc5c"
"3465" "Pip5kl1" "Pip5kl1" "Pip5kl1"
"3466" "Vgll1" "Vgll1" "Vgll1"
"3467" "Sept3" "Sept3" "Sept3"
"3468" "1700067K01Rik" "1700067K01Rik" "1700067K01Rik"
"3469" "Tmco4" "Tmco4" "Tmco4"
"3470" "Acvrl1" "Acvrl1" "Acvrl1"
"3471" "Nupl1" "Nupl1" "Nupl1"
"3472" "Cryz" "Cryz" "Cryz"
"3473" "Phf20l1" "Phf20l1" "Phf20l1"
"3474" "Satb2" "Satb2" "Satb2"
"3475" "Zfp473" "Zfp473" "Zfp473"
"3476" "Kcne1l" "Kcne1l" "Kcne1l"
"3477" "Leprot" "Leprot" "Leprot"
"3478" "Tssc1" "Tssc1" "Tssc1"
"3479" "Pla2g4c" "Pla2g4c" "Pla2g4c"
"3480" "Rfc4" "Rfc4" "Rfc4"
"3481" "Rbm5" "Rbm5" "Rbm5"
"3482" "Slamf7" "Slamf7" "Slamf7"
"3483" "Rbm10" "Rbm10" "Rbm10"
"3484" "Fbxw9" "Fbxw9" "Fbxw9"
"3485" "Syde2" "Syde2" "Syde2"
"3486" "Trpt1" "Trpt1" "Trpt1"
"3487" "2700062C07Rik" "2700062C07Rik" "2700062C07Rik"
"3488" "Ccnl2" "Ccnl2" "Ccnl2"
"3489" "Psmd14" "Psmd14" "Psmd14"
"3490" "Cd40lg" "Cd40lg" "Cd40lg"
"3491" "Msh3" "Msh3" "Msh3"
"3492" "Wbp2" "Wbp2" "Wbp2"
"3493" "Tbc1d2b" "Tbc1d2b" "Tbc1d2b"
"3494" "Ptprb" "Ptprb" "Ptprb"
"3495" "Acsl4" "Acsl4" "Acsl4"
"3496" "Cd48" "Cd48" "Cd48"
"3497" "Wbp2nl" "Wbp2nl" "Wbp2nl"
"3498" "Myt1l" "Myt1l" "Myt1l"
"3499" "Actl6a" "Actl6a" "Actl6a"
"3500" "Brf2" "Brf2" "Brf2"
"3501" "Tlr9" "Tlr9" "Tlr9"
"3502" "Kif21b" "Kif21b" "Kif21b"
"3503" "Vrk3" "Vrk3" "Vrk3"
"3504" "Gng2" "Gng2" "Gng2"
"3505" "Naga" "Naga" "Naga"
"3506" "Sh2d4b" "Sh2d4b" "Sh2d4b"
"3507" "Sgpp2" "Sgpp2" "Sgpp2"
"3508" "Adipoq" "Adipoq" "Adipoq"
"3509" "Slamf1" "Slamf1" "Slamf1"
"3510" "Pnma2" "Pnma2" "Pnma2"
"3511" "Alas1" "Alas1" "Alas1"
"3512" "Arhgef6" "Arhgef6" "Arhgef6"
"3513" "Ndnl2" "Ndnl2" "Ndnl2"
"3514" "Tekt4" "Tekt4" "Tekt4"
"3515" "Psen1" "Psen1" "Psen1"
"3516" "Rab11fip1" "Rab11fip1" "Rab11fip1"
"3517" "Olfr1052" "Olfr1052" "Olfr1052"
"3518" "Psmd9" "Psmd9" "Psmd9"
"3519" "Dera" "Dera" "Dera"
"3520" "Rxra" "Rxra" "Rxra"
"3521" "Gabrg2" "Gabrg2" "Gabrg2"
"3522" "Tjp1" "Tjp1" "Tjp1"
"3523" "Sstr5" "Sstr5" "Sstr5"
"3524" "Piwil4" "Piwil4" "Piwil4"
"3525" "St6gal1" "St6gal1" "St6gal1"
"3526" "Tbrg1" "Tbrg1" "Tbrg1"
"3527" "Sox8" "Sox8" "Sox8"
"3528" "Mybpc3" "Mybpc3" "Mybpc3"
"3529" "Tmprss4" "Tmprss4" "Tmprss4"
"3530" "Wdr63" "Wdr63" "Wdr63"
"3531" "Mknk2" "Mknk2" "Mknk2"
"3532" "Dclre1b" "Dclre1b" "Dclre1b"
"3533" "Tspan14" "Tspan14" "Tspan14"
"3534" "Wdr66" "Wdr66" "Wdr66"
"3535" "Cd84" "Cd84" "Cd84"
"3536" "Prmt8" "Prmt8" "Prmt8"
"3537" "Slc39a6" "Slc39a6" "Slc39a6"
"3538" "Pebp1" "Pebp1" "Pebp1"
"3539" "Nrd1" "Nrd1" "Nrd1"
"3540" "Zfp386" "Zfp386" "Zfp386"
"3541" "Mogat1" "Mogat1" "Mogat1"
"3542" "Cpxm1" "Cpxm1" "Cpxm1"
"3543" "Tubgcp3" "Tubgcp3" "Tubgcp3"
"3544" "Rtp1" "Rtp1" "Rtp1"
"3545" "Papln" "Papln" "Papln"
"3546" "Cldn18" "Cldn18" "Cldn18"
"3547" "Fpr-rs3" "Fpr-rs3" "Fpr-rs3"
"3548" "Cabp5" "Cabp5" "Cabp5"
"3549" "Masp1" "Masp1" "Masp1"
"3550" "Mbd2" "Mbd2" "Mbd2"
"3551" "Bmp5" "Bmp5" "Bmp5"
"3552" "1700066M21Rik" "1700066M21Rik" "1700066M21Rik"
"3553" "Sept4" "Sept4" "Sept4"
"3554" "St6galnac4" "St6galnac4" "St6galnac4"
"3555" "Mrps25" "Mrps25" "Mrps25"
"3556" "Polr3e" "Polr3e" "Polr3e"
"3557" "Lao1" "Lao1" "Lao1"
"3558" "Nisch" "Nisch" "Nisch"
"3559" "Got1l1" "Got1l1" "Got1l1"
"3560" "Ppp2r1a" "Ppp2r1a" "Ppp2r1a"
"3561" "Vipr2" "Vipr2" "Vipr2"
"3562" "Slamf6" "Slamf6" "Slamf6"
"3563" "Sox14" "Sox14" "Sox14"
"3564" "Clcnka" "Clcnka" "Clcnka"
"3565" "Mtmr6" "Mtmr6" "Mtmr6"
"3566" "Cars" "Cars" "Cars"
"3567" "2610305D13Rik" "2610305D13Rik" "2610305D13Rik"
"3568" "2210011C24Rik" "2210011C24Rik" "2210011C24Rik"
"3569" "Atf5" "Atf5" "Atf5"
"3570" "Ndel1" "Ndel1" "Ndel1"
"3571" "Cs" "Cs" "Cs"
"3572" "Rtp4" "Rtp4" "Rtp4"
"3573" "5730559C18Rik" "5730559C18Rik" "5730559C18Rik"
"3574" "Lepr" "Lepr" "Lepr"
"3575" "Sult2a2" "Sult2a2" "Sult2a2"
"3576" "Tas1r1" "Tas1r1" "Tas1r1"
"3577" "Sst" "Sst" "Sst"
"3578" "Nradd" "Nradd" "Nradd"
"3579" "Cyp2b19" "Cyp2b19" "Cyp2b19"
"3580" "Musk" "Musk" "Musk"
"3581" "Rbmx" "Rbmx" "Rbmx"
"3582" "Gng13" "Gng13" "Gng13"
"3583" "Rtp2" "Rtp2" "Rtp2"
"3584" "Pfkl" "Pfkl" "Pfkl"
"3585" "Shc3" "Shc3" "Shc3"
"3586" "Bcl6" "Bcl6" "Bcl6"
"3587" "Kcnk5" "Kcnk5" "Kcnk5"
"3588" "Tmco5" "Tmco5" "Tmco5"
"3589" "Olfr1087" "Olfr1087" "Olfr1087"
"3590" "Cdc7" "Cdc7" "Cdc7"
"3591" "Col16a1" "Col16a1" "Col16a1"
"3592" "Wsb2" "Wsb2" "Wsb2"
"3593" "Vangl2" "Vangl2" "Vangl2"
"3594" "2700029M09Rik" "2700029M09Rik" "2700029M09Rik"
"3595" "Dcc" "Dcc" "Dcc"
