"gene name","entrez"
"Fbxl20","70276813",
"Accsl","74578224",
"Dennd4a","69524473",
"Gpx8","68410255",
"Cpsf4","68843996",
"Rtdr1","70301937",
"Cse1l","71378309",
"Nif3l1","69782252",
"S100b","922",
"Ska1","71627816",
"Iqce","70474851",
"Rpl17","69014530",
"Igh-6","70795748",
"Capn10","77792631",
"Dcun1d5","70430714",
"AI854703","69288608",
"Dram1","68445632",
"Gcg","74990490",
"Lrmp","71656652",
"F430201E05Rik*","73767284",
"Tmem19","69059976",
"Dpyd","68191204",
"Alpk3","71574473",
"Cd72","74431053",
"Taf1c","69262254",
"Casp3","70431217",
"4930524B15Rik","70218235",
"Olfr574","74724211",
"Shroom1","633290",
"Qrfpr","70724756",
"A330009N23Rik","70228382",
"Snx13","70812780",
"Tnfaip8","73712726",
"A530023O14Rik","69448692",
"Tsc22d3","71789724",
"B230215A15Rik*","73808355",
"Gyk","68191516",
"Dmxl2","70238991",
"Cdh29","71809331",
"Itsn1","1366",
"A330089M16Rik*","73808546",
"Gnaq","71280511",
"Rsl1d1","69169594",
"Dmxl1","69531067",
"Blm","69529334",
"Ptgis","69817649",
"Prl2b1","71919224",
"Man1a","75492195",
"Xrcc6bp1","70474923",
"Blk","68544991",
"Slc13a1","80473477",
"Chrna5","74821601",
"Map1lc3b","69751980",
"Ufd1l","71724750",
"Adamts7","70724535",
"Pde4d","1260",
"Rapgef6","71152354",
"AI452102","73818824",
"Rcbtb1","69289787",
"Tmem74","69527872",
"Cenpe","69548807",
"Apc","69526725",
"Atpif1","67978746",
"Vmn1r39","74736498",
"Cat","70919370",
"BC068157","71022726",
"Fibcd1","69672462",
"Prkci","68546554",
"Cttn","564759",
"Commd4","68924437",
"S1pr4","69237221",
"Lace1","76003679",
"Ankrd34b","70593157",
"D630003M21Rik","75990492",
"Stx12","73834102",
"Josd1","69079990",
"LOC433467","70723271",
"Mm.235026","71152599",
"H2-M10.1","70724792",
"Pld3","77464848",
"Rbms1","76135593",
"Wnt6","2736",
"Slc39a4","68203442",
"Lep","69736082",
"Golga5","68632930",
"Parn","587426",
"Dkk3","75496238",
"Rock2","71808388",
"Chsy1","69548939",
"Cbx1","77454690",
"Msi2","71280976",
"B4galnt3","71569259",
"Uxs1","71763634",
"Slco1a5","75694427",
"Mmgt2","73513558",
"Pcnp","73514797",
"Gm1604b","70298471",
"Iffo2","227769",
"9330182L06Rik","71493879",
"Mm.205191","71152348",
"Skiv2l2","76098405",
"Afap1l1","71158919",
"Ubqln1","67814217",
"B230396K10Rik","69527878",
"Ly6e","77454976",
"Gp9","69734518",
"Mrpl39","674",
"Calcr","79913124",
"Hgf","559",
"Sash3","69549604",
"Gp1ba","71232740",
"Nepn","70218968",
"Tor1aip2","71280802",
"Fgf21","437",
"Tshr","80471957",
"Ect2","68446087",
"Clic5","80514077",
"1700029H14Rik","75860934",
"Zg16","68632924",
"1700001P01Rik","69113799",
"Lrguk","69407875",
"Krt72-ps","70724559",
"Rictor","69407791",
"Palb2","69134340",
"Dexi","70431289",
"Pex5","68546287",
"Car11","68797501",
"Mybpc3","77455149",
"Pold2","67979050",
"Sult2a2","69887457",
"Il18rap","71529941",
"Sertad2","70524281",
"Nphs2","76003714",
"A130066N16Rik","81600160",
"Hemk1","564757",
"9530077C05Rik","68545989",
"Gys2","77800927",
"Cdh8","80525669",
"Trhr","79913245",
"Pparg","2496",
"Tmem195","69448680",
"Eif4ebp3","69116751",
"Slc28a1","71213862",
"4930448I06Rik","74580014",
"Thbd","75694254",
"Dsc3","81655564",
"Taf13","2656",
"Syde2","69531019",
"Snhg6","71212416",
"Vmn1r32","75931579",
"Stk30","69170198",
"Klhdc4","67978784",
"Uba7","70194480",
"Zfr2","70717372",
"Mfsd9","69014722",
"Wasf1","69059954",
"Mmp8","68920827",
"Gnb4","70431325",
"2810007J24Rik","68666523",
"Rara","1529",
"Ipo11","74357905",
"Asb13","69015739",
"Col2a1","71489805",
"Polr2g","392911",
"Odf4","69174286",
"Arhgap12","77923596",
"Ubxn11","323",
"Aspa","68444720",
"Eml1","71152539",
"Hbb","74821830",
"Mm.202219","71152324",
"Eif2c3","70724708",
"Pick1","68924560",
"Lsm2","68301114",
"Olfr1099","75214737",
"Tap1","68301551",
"Qtrt1","68920821",
"Mcart1","69752107",
"Psmb4","68196974",
"Ninj1","70919424",
"Nt5c3","69059851",
"Plunc","68797978",
"Poln","73423975",
"Pak1","69782682",
"Itgbl1","71210097",
"Moap1","68666553",
"Srsf18","70218944",
"Hipk1","69735024",
"D19Ertd737e","70523780",
"Prpf40b","71493050",
"Gtf2ird2","69353548",
"Ggh","69112406",
"LOC433165","70722958",
"Gstm3","68920779",
"Tead2","68667115",
"Atad1","68193071",
"Spcs2","68667312",
"Rora","2538",
"Cd1d1","222",
"Gtpbp8","71919080",
"LOC545890","74736450",
"Gm497","74359664",
"Mamdc2","69262286",
"Loxl4","69736160",
"C8a","68795463",
"4930455F23Rik","68797553",
"Rhob","70429393",
"Magea4","70784624",
"LOC436358","72472394",
"4921507P07Rik","72076641",
"Chst14","68861705",
"Fastkd3","68844612",
"Clgn","69114399",
"Actg2","77620463",
"BC028528","68744636",
"1700020I14Rik","71380495",
"4921513I03Rik","70205632",
"Mmd","583559",
"Col19a1","69863308",
"AY026312","70231110",
"Xlr3a","77454548",
"Stam","70565282",
"Atp6v1h","70525808",
"Maged1","69015619",
"Mpv17l2","70528372",
"Bscl2","68798085",
"Syce1","74265225",
"Gm270","70295751",
"Shc3","69873732",
"Cnr1","79913447",
"Armc4","74076210",
"Pla2g15","68637545",
"Peg3","69289693",
"Csgalnact1","69407654",
"Adh4","75988240",
"9430062P05Rik","71212117",
"Gm1625","71668662",
"Dcaf8","70429208",
"Olfr67","74734812",
"Bcl9","641531",
"Mon2","71493063",
"C3","70528425",
"1700101E01Rik","70609162",
"Bre","73818810",
"Cbfa2t3","73716680",
"Fam123a","74821568",
"Tmem232","73497541",
"Ifi204","576424",
"Mtmr15","72182971",
"Stc2","76097723",
"Egf","80341155",
"LOC434424","71022316",
"Azin1","67815551",
"Gnl1","70918922",
"Cxcl12","309",
"Adcy10","71281268",
"Map3k1","69752004",
"Gm1125","70299995",
"Prox2","69353735",
"C230029F24Rik","71808576",
"9230107M04Rik","74580907",
"Ctsl","307",
"Otor","71668988",
"F930048A06Rik*","73767424",
"Pex14","1398",
"Morn5","69116528",
"Nup107","68844576",
"Acads","68342390",
"Dnhd1","71493837",
"Prcc","68799143",
"Prop1","71325366",
"Shc4","71493789",
"Ipo8","69735508",
"Rnf217","70595768",
"3110082D06Rik","70203676",
"Adam1b","69514756",
"Rbmx2","68151437",
"A230057D06Rik","71160238",
"Dhx16","512766",
"Baiap2l1","68076990",
"Bnip1","69133845",
"Actl7a","70228699",
"Igfbp2","70431385",
"Lrrc26","69095966",
"E330013P04Rik","76081003",
"Ap2m1","101",
"Snrnp40","68844194",
"Fam154b","70305646",
"Rcan3","70946481",
"Npc2","293915",
"Igbp1b","70724846",
"Ccdc147","70298525",
"Ftsj2","75828197",
"Mocs1","68203505",
"Ppp1ca","69015542",
"Pter","71763849",
"Adam3","75860980",
"1700065D16Rik","68797780",
"1700029I15Rik","74749223",
"Ubtfl1","75043689",
"Pls1","71495698",
"Tarbp2","75695657",
"Prpf38a","75831730",
"Dld","70445700",
"Taf4a","69290573",
"Mllt11","77454654",
"Vamp8","69059818",
"Ubxn10","77800953",
"Ttc39c","67765705",
"Yars","1123",
"Fcgr3","68667599",
"Prkcd","69013272",
"2810021G02Rik","70813137",
"Rpn2","904",
"Serpinb6c","68798394",
"Tmem95","70725495",
"Hsd3b2","68445018",
"4930579G22Rik","71891952",
"Glt25d1","70812762",
"Bmp15","68667455",
"Sf3a1","68546398",
"Cldn13","70237932",
"Gapvd1","69407582",
"3010003L10Rik","73497771",
"Gm216","74578311",
"Adar","68845400",
"Khdrbs2","72182944",
"Cdk11b","69012950",
"Lmo3","71281865",
"4931407G18Rik","70525780",
"LOC436200","74736324",
