"gene name","entrez"
"Gse1","70276975",
"Zxdc","67978686",
"Pif1","68924685",
"Pgpep1","68799095",
"Cct7","413791",
"Atg14","69608525",
"Pex11b","70439069",
"Kctd7","71488722",
"Gstm7","71656927",
"Ttc37","69526480",
"Lypd5","71991702",
"Zfp410","68410476",
"Bcl11a","67978774",
"Sprr4","73573205",
"Msto1","1380",
"Itgb4","73514695",
"Pcdh19","81655211",
"Adamts1","70",
"Eng","68637957",
"D730039F16Rik","68341997",
"A530030B07Rik*","73808576",
"Rbbp8","68666822",
"9630011N22Rik","69447781",
"1700024G13Rik","69353651",
"Pan2","70194654",
"Begain","69529340",
"Hspbap1","70277973",
"Phlda3","70473945",
"C920006O11Rik","74822582",
"Rhobtb3","68797727",
"Rdh12","75214939",
"Mobkl1a","70200854",
"Usp5","72004457",
"Fam149b","71735820",
"Ccdc85b","71574362",
"LOC435908","71022621",
"Ints8","68667067",
"Guca1a","68797488",
"Cldn14","69548982",
"Lin37","393212",
"Ccdc51","69443523",
"Arhgap19","75988276",
"Evc2","71496571",
"Chst10","68919018",
"B3galt2","68797505",
"Atp9b","71495831",
"Mrpl24","532623",
"5830403L16Rik","69526462",
"Ak2","75694367",
"Aen","70445467",
"Dhtkd1","71496435",
"Wdr47","68546458",
"5730422E09Rik","70787191",
"BC031181","69838743",
"Hoxa9","575",
"Wnt16","2730",
"Chst15","532711",
"5730596B20Rik","69443529",
"4930562C15Rik","72283444",
"0610009O20Rik","69080037",
"Mag","69736418",
"Iqgap1","69262296",
"Hebp1","70431349",
"C130044B04Rik*","73811621",
"U2af2","386012",
"Adam1a","69837201",
"Alg5","75774636",
"Tmem125","68545977",
"Rab30","68342288",
"Ncoa3","71380429",
"Fkbp4","67978476",
"Dock3","71587583",
"Anxa2","72182977",
"Ear5","70724690",
"Mtmr9","70795385",
"Abcb7","78534538",
"Lancl1","2366",
"Hoxc13","71377742",
"Pomt1","69080732",
"Mrps31","68341639",
"4930510E17Rik","71570759",
"Zfp712","73635433",
"Gm11545","70228418",
"Rps6kb1","678706",
"Dock10","70238925",
"Comtd1","69113668",
"Rrp1","714",
"Eif2ak1","71160961",
"Sdf4","69873457",
"Hmgxb3","69288584",
"1700008H02Rik","71808618",
"Nnmt","68523168",
"Pvt1","74359718",
"Lrrc25","76003680",
"Zfp119","69290788",
"Ccdc72","71763951",
"Slurp1","70598376",
"4922501L14Rik","71492856",
"6230427J02Rik","74635695",
"BC049688","73716632",
"1700042B14Rik","71920123",
"Nxnl2","70528055",
"Sec23a","70919262",
"Gclm","69672832",
"Tspyl2","385781",
"Nr1i3","69170186",
"Ren2","75694742",
"Wdr48","69446262",
"S100a7a","71489786",
"Gfod1","69526426",
"1700021K19Rik","69353627",
"Zfp619","70203597",
"Wdr89","69854734",
"Ms4a4d","71020822",
"Ppp1r15b","70523739",
"Tbxas1","68410644",
"Vdac1","70918898",
"1500011H22Rik","70445413",
"5730403M16Rik","69837606",
"Usmg5","68203444",
"Pdlim2","2477",
"Krt75","70295470",
"Gstm1","68443202",
"Serpina1e","71570746",
"LOC382175","74578194",
"Stx1a","2646",
"Trrap","413773",
"Ptgds","68192996",
"mCG18431.2","71210989",
"Eif4e","73906527",
"Cpsf3l","74357611",
"Igfals","69735275",
"Dppa1","71587589",
"Tln2","73573247",
"Kcnv1","71232860",
"1700021A07Rik","71377987",
"9430018F04Rik*","73927757",
"D730002M21Rik","70238728",
"Spata17","71891838",
"Bpil3","75831707",
"Gm5514","74736213",
"Grm6","68845777",
"LOC432781","70611299",
"Adam25","70228729",
"2310022B05Rik","70474911",
"A430072C10Rik","70228424",
"BC030336","71211752",
"Athl1","68444946",
"Calhm2","68445173",
"Igf2bp1","73811717",
"Hoxd3","69289183",
"Itih5","68745161",
"Ccnf","68795429",
"LOC545795","74427049",
"Krt6a","71991834",
"C030003K17Rik*","73808373",
"Fam81a","68161484",
"Plp1","75457513",
"AF119384","70724547",
"Hoxb1","69289147",
"B230209K01Rik","71809061",
"Jag1","69735646",
"Mycbp2","71234742",
"Mycn","79762720",
"Pcp4","73423932",
"Amotl1","70920135",
"5330416C01Rik","69443355",
"4932429P05Rik","74514037",
"Cdk15","75990875",
"LOC432444","70608517",
"Fxn","69672575",
"Suclg1","564780",
"Samd11","68196912",
"Il1a","68191540",
"LOC432426","70608490",
"Lrrc23","69114516",
"Npnt","69782366",
"Plb1","75214962",
"Gm4791","70565458",
"Map3k3","68157403",
"Cd300lg","77904889",
"Anapc16","199227",
"F830225E14Rik*","73748776",
"1700009J07Rik","69116978",
"LOC433561","70785786",
"Nlk","69014848",
"Tmem132e","69734446",
"mCG1029207","74579485",
"Chml","71021152",
"6430510M02Rik","74431339",
"Pgrmc1","2479",
"Sphk2","69079997",
"Galm","2250",
"Fam124a","69671726",
"Gm1747","70608415",
"Slc25a1","77454675",
"Spop","69885702",
"Mat2b","67978386",
"Rcn1","69818048",
"Las1l","68203481",
"Zfp608","73584711",
"Ear6","70724696",
"G630016D24Rik","73731313",
"Fam111a","69095976",
"Nudcd1","75831738",
"Dhrsx","71211791",
"Epas1","69015278",
"Sh3gl1","72001869",
"Acad8","678718",
"Mtmr9","68745504",
"Dlx4","74821607",
"Krt17","75991022",
"Snrnp27","68545848",
"9930005F22Rik","71022597",
"Grn","541",
"Lyn","68563122",
"Slc32a1","79677349",
"F13b","68446033",
"5530400C07Rik*","73808180",
"Esd","69672144",
"2510039O18Rik","71610842",
"Hpse2","70298519",
"Dmwd","2152",
"Tjp1","69981013",
"AI452195","73906221",
"Fbln7","70201140",
"1520401A03Rik","71492838",
"Lrrc8a","69170204",
"Rnf157","74562224",
"0610037L13Rik","556980",
"Yipf5","67978648",
"Phkg1","69104735",
"Larp7","68910980",
"1700022F17Rik","71377997",
"Pwp1","67787339",
"LOC433740","70786737",
"Ccl6","71489804",
"Tuba3b","69114334",
"Zfp709","70430864",
"Tnp2","69981401",
"Fam155a","70231104",
"H3f3a","632507",
"Prep","69059821",
"Nhs","70565885",
"Vmn1r234","69442235",
"Ctnna2","73513660",
"Gmpr","76081883",
"Fbln5","69672294",
"4930597L12Rik","74265171",
"Tctn2","68919085",
"9330175E14Rik","70228101",
"LOC433055","70611473",
"Braf","74579398",
"Bicd1","70430904",
"Lrg1","68499183",
"Efr3a","68442997",
"Tbc1d10b","68151349",
"Gm4759","70565903",
"Sel1l3","71152360",
"Ppp2r2c","69817240",
"Dom3z","532640",
"Wnt9b","1893",
"Phkg2","70795397",
"4930427A07Rik","69407935",
"Calcoco1","69407086",
"Tmem9","77910727",
"Itga3","599",
"Lgr5","77793183",
"7120438E14Rik*","73927670",
"Sigirr","79541442",
"Gnpat","68562982",
"Prune2","71809205",
"Dnajc25","69202238",
"Cpt1c","2118",
"LOC434100","70787408",
"Zfp668","70525795",
"2010107H07Rik","73512517",
"Armc3","69526880",
"Nudt11","71656792",
"Gfm2","67787343",
"Bsg","167",
"Tekt1","80342213",
"Fam136a","1965",
"H60a","71723802",
"Nr4a2","733",
"Coq4","69134226",
"Fam13a","71668374",
"1700034O15Rik","69113716",
"9030617O03Rik","70445544",
"Cst3","75496212",
"4930509E16Rik","70218199",
"Sirpb1a","72283528",
"Mrgprb2","73606516",
"1810033B17Rik","70201576",
"Acss1","67881763",
"Hnrpll","69169343",
"Tmem132d","71021029",
"Avp","132",
"Tas2r139","70302413",
"Ubap1","70194474",
"Eftud1","70528629",
"Hvcn1","70445371",
"F730050M04Rik*","73767166",
"Arhgap32","71281516",
"TC1462499","70795829",
"Rnf166","71020892",
"LOC280640","74743459",
"Rph3al","70301925",
"Fam57b","75831762",
"Tulp4","71212283",
"AI606181","69526384",
"1010001N08Rik","70200842",
"BC016579","68341561",
"Atg16l1","69526761",
"Hspb6","69735162",
"Trim24","68843913",
"Btg2","69530684",
"Ifngr2","1461",
"Olfr131","73635580",
"Acyp2","70303534",
"Spnb1","73834397",
"Rtcd1","583850",
"Zfp422","386028",
"Capzb","70919131",
"Calb2","75496390",
"Ms4a18","71892274",
"Muc4","73423862",
"Enc1","392",
"Narf","583563",
"Kcnt1","71487052",
"Prkcc","69817306",
"Mfap5","71735836",
"Tomm20","70918814",
"Lipk","69014925",
"LOC433405","70723223",
"Taf6","69174553",
"Nedd4","71209841",
"Mapk14","70918844",
"Slc24a2","70302093",
"1700025E21Rik","74581319",
"Pcdhga12","79354774",
"Il17a","76003675",
"Aprt","633282",
"Ctag2","75831777",
"Gkn1","71587727",
"Aplp2","68799083",
"Mcph1","68843907",
"Efna3","382",
"F630040K05Rik","71281937",
"Epsti1","634447",
"Tsc22d2","70201594",
"Kitl","617",
"Cops2","68563056",
"Hspe1","68499485",
"A530079E22Rik","69448716",
"AI316807","71213081",
"2810408P10Rik","74058871",
"Vstm2b","69407385",
"Vip","1102",
"BC018507","393248",
"Frmd6","70528035",
"Ptgfrn","69817643",
"Ptpro","70525783",
"Ripk3","275676",
"Wdr43","69202926",
"Ppid","71724004",
"Armc8","68546230",
"Arhgef2","2044",
"Clec7a","81654145",
"Pebp4","69114192",
"Echdc3","631725",
"Pfkfb1","69783035",
"Prss35","70919591",
"Clec9a","69447828",
"Gpr120","69838559",
"Shfm1","79544852",
"6430567L13Rik*","73870581",
"Prmt6","74431679",
"Mefv","73423774",
"A630001O12Rik","73748710",
"Traf7","2528",
"Snhg11","69671696",
"Adam5","75988238",
"Ubxn1","71992097",
"Rhbdf2","68797864",
"Fzd9","69256658",
"Rtn4rl1","1827",
"LOC435481","71281943",
"Calb1","75492673",
"Tmub1","601186",
"Ccnl1","69134646",
"Gm5475","74578347",
"Adcy8","74514237",
"LOC433495","70723325",
"Cachd1","69201522",
"Madcam1","2390",
"Rwdd2a","71381569",
"Ric8b","69013371",
"Tmem161b","68667192",
"6330563N19Rik*","73906041",
"Rbm5","69818030",
"Slit2","981",
"Kcnj2","80514153",
"Gm1968","74430972",
"Dab1","71147809",
"LOC381980","70596155",
"Ppy","70812793",
"Zfp608","73811609",
"St7l","68798079",
"Usp44","70239057",
"Ubl3","1885",
"Ankhd1","74265352",
"ND3","676",
"Gcnt2","81790718",
"Actn2","70724523",
"Rhbg","78634021",
"Rcor2","69261922",
"Zim1","69817139",
"Lix1","644",
"LOC435668","74822605",
"Rexo2","67979032",
"Ano2","68157397",
"Cct2","293916",
"Cyp4a10","71627752",
"Vldlr","104594",
"Odf3","72081646",
"Ubxn10","71612210",
"Tmem184a","68410267",
"1700047I17Rik1","71280907",
"Eif2b5","69059879",
"Crisp3","67815965",
"Vps37d","69262293",
"4833439C01Rik*","73870713",
"9030224M15Rik","70227968",
"Cyfip2","68919922",
"Chaf1b","80341135",
"Fah","67765699",
"Fam114a2","74990507",
"Slc10a5","70296092",
"Kbtbd13","69443439",
"Dusp10","75750342",
"A830073O21Rik","67815960",
"Taf5","69290579",
"Olfr272","74720946",
"Col18a1","289",
"Slc25a10","75692727",
"Dsg1c","81655558",
"Myc","2416",
"Creb3l2","68920431",
"Tdrd9","70302449",
"Scarf2","74514357",
"Rnf150","71020891",
"Cxcl13","68301449",
"Coq2","69202346",
"Nlrc5","70920105",
"Cpt1a","1479",
"Extl1","69672186",
"Gmds","68631972",
"Ighmbp2","74514255",
"Dscaml1","71456156",
"Unc5a","69262251",
"LOC432835","70611323",
"Cecr2","71579861",
"TC1442825","70795485",
"Nsa2","69443487",
"Prr12","68080698",
"Grip1","70565623",
"Gdpd4","72472488",
"Col4a4","69568872",
"1700080O16Rik","71920153",
"Afg3l1","75831742",
"D10Ertd610e","69013642",
"9130019P16Rik","70595919",
"Mpp5","71020776",
"Capn12","68744504",
"4732460I24","72004517",
"Dpysl4","1346",
"Cables2","71735822",
"Pla2g3","69783274",
"A830021K08Rik","73811555",
"Orai2","69448966",
"Gan","77464882",
"1700067K01Rik","69353768",
"2700060E02Rik","70527975",
"Speer5-ps1","75931623",
"Atp6v1b2","130",
"Csrp2bp","227751",
"Ttc7","75831735",
"Kif18b","68844434",
"Mavs","69261395",
"AW146020","71283662",
"Ubxn7","73513377",
"Slc25a27","70302111",
"Olfr1339","73635592",
"Mycbpap","67787350",
"Epb4.9","79544804",
"Gja8","69257337",
"9530020O07Rik","73808450",
"F830118D09Rik*","73748671",
"Tomm5","69352932",
"Lyg1","73617552",
"Gprc5a","80525759",
"Gas7","69672808",
"Slitrk6","69874162",
"Fmo4","71587679",
"Nme7","69262339",
"Sel1l3","69202484",
"Nov","75457462",
"Fdx1","71209922",
"Pla2g10","68666744",
"Sesn2","386017",
"Per1","792",
"Zc4h2","70717991",
"Olfr722","73653500",
"6030445D17Rik","70227872",
"Zfp354c","69352688",
"B230032P10Rik*","74000534",
"2810428I15Rik","68744797",
"Klk1b26","68632112",
"Pcdhb21","69782826",
"Cxxc4","74277639",
"Mrpl47","71020791",
"Spata19","75851033",
"Fut8","392928",
"Zc3h3","70523662",
"1190003J15Rik","68744038",
"Cd300a","71809358",
"Arhgdig","2042",
"Slc35a2","2608",
"BC018242","67765715",
"Gsto2","68162209",
"Carns1","68157418",
"Acta2","68743877",
"Fam116a","71158372",
"Oprl1","69837191",
"Edaradd","68744474",
"F730043M19Rik","73731247",
"LOC383041","71281925",
"Cdkl5","74000486",
"Tyrobp","70523695",
"Nebl","70437804",
"Thbs4","77800901",
"Nr2e3","2435",
"Stra8","69887385",
"Rap1gds1","71608200",
"Lipt2","69202908",
"Hoxb3","69289153",
"Vsig4","68545288",
"2610029I01Rik","69202860",
"Atp2b2","70724583",
"Arpc3","68193057",
"Commd8","76080997",
"4631416L12Rik","70227962",
"Fxyd4","70276837",
"Ddx31","70946443",
"Bet1","68300932",
"Ccdc78","70298483",
"Plxna3","1404",
"Slc1a5","119701",
"Mrc1","70300409",
"Tmem214","70445395",
"Lrrc4c","69445355",
"Pih1d2","68920707",
"F830209M14Rik*","73748704",
"Aven","69236843",
"Smpdl3b","68269298",
"Slc7a11","69874048",
"Fibp","70919328",
"4931440L10Rik","71892083",
"Il31","71919475",
"Cep68","70795403",
"Syt9","69887529",
"Chmp4c","70203489",
"Nlrp4e","70784702",
"Ghrl","20",
"Il6","71280931",
"Xlr4b","75828174",
"Ppp2cb","81600088",
"Lcp1","71612196",
"Wif1","1112",
"Rbl2","70525831",
"Dsc2","75831766",
"Mtap9","70218890",
"Slc22a14","71832787",
"Tmx1","68795409",
"Apba1","69526713",
"Fpr1","70723387",
"Il1b","75694738",
"Ncdn","685",
"Gpd1","69549282",
"Cd69","74821820",
"Slc24a3","130536",
"Akt3","77465022",
"Pex13","68795403",
"Ubqlnl","71570754",
"Lrrc57","68744815",
"Tmbim6","68300908",
"Zfp52","76098326",
"LOC383368","70725091",
"Pla2g4c","79912601",
"Blvrb","634437",
"Bcl7c","633284",
"Ywhah","1128",
"Als2cl","71281098",
"Olfr552","74724163",
"Cacna1s","70723167",
"Erdr1","380",
"2410124H12Rik","71991864",
"Ids","69735222",
"Skint2","69262295",
"Grin2b","69257725",
"LOC434069","70725567",
"Rnf7","72000622",
"Allc","70230921",
"Astl","76080981",
"Uimc1","69873367",
"Pde6a","68632960",
"Gipc1","68196959",
"Adora1","73496905",
"Tmem26","69981091",
"Tmprss12","71891796",
"P2ry4","69258286",
"Skil","69262315",
"Ormdl2","71763837",
"Klhl30","69407594",
"Mpp2","68798980",
"1810030N24Rik","68744875",
"Hnrpdl","68445161",
"Ypel5","70195084",
"Fgfr1","441",
"Tcfcp2","68410494",
"Kbtbd4","68203495",
"Abca3","69514536",
"Adarb1","71495666",
"Hira","73497174",
"H2-D1","77620277",
"S100a8","73573151",
"Tlr13","70302521",
"9530053H22","71569133",
"Spock1","70525793",
"Arl11","69835570",
"Pdx1","69289213",
"Pcca","386263",
"Aida","69095963",
"5830405N20Rik","71020964",
"Csad","71496342",
"Tmem204","68797960",
"Gfral","70565611",
"Cd109","70528491",
"Sycp2","73808492",
"Clec2e","70305616",
"4931406H21Rik","70218462",
"Haus6","77455147",
"Chrm2","69237083",
"Mcoln2","248562",
"Slc22a8","69838624",
"Serpina11","76081910",
"Tgm5","75990420",
"Kcnk16","71393473",
"Prlr","69526444",
"Kremen2","69735915",
"Thsd4","69527776",
"LOC434281","70787735",
"Ift122","70194976",
"Nedd9","77790732",
"Acap3","70593277",
"A730049N16Rik","69448978",
"Tnks","69608513",
"Ampd3","70919316",
"Nme1","74277663",
"Mos","71020763",
"Terf2","69012717",
"Gm2a","70473897",
"Cstf1","67881786",
"Foxf2","72472440",
"Lcn14","70608352",
"Fabp9","69114453",
"LOC385660","71211296",
"Pus3","71763565",
"BC057079","69529173",
"Mef2c","669",
"Abhd10","69262229",
"Spdef","81654083",
"Wsb2","71764320",
"D930030D11Rik","71496399",
"Gm6792","73870605",
"Fbf1","71497000",
"Cdh18","69527800",
"Gnl3l","68920425",
"Csrp2","73513654",
"LOC432619","74509566",
"Vps13c","74058646",
"Xrcc2","68157394",
"Nf2","68442973",
"Cpsf4l","75827109",
"Mrps16","68446093",
"5430414B19Rik","74580799",
"Psma6","69817408",
"Haus3","68499548",
"Hs6st3","79762379",
"Oprk1","69258238",
"Gm7723","80342303",
"Llgl2","68443525",
"F530002G13Rik*","73767406",
"Yipf3","671235",
"Dnaic1","70238902",
"D7Ertd443e","70717361",
"Calb2","75457438",
"S100a16","68341752",
"Glra4","70724744",
"2810453I06Rik","392926",
"Ctbp1","69059817",
"Dos","69671576",
"Ssr4","69885768",
"Ap3s2","71495789",
"Lars","68443184",
"Setd1a","70919794",
"Gba2","70795835",
"LOC433959","70787164",
"Gna13","69014764",
"Sdhc","68269302",
"Trim6","68795464",
"Gnb2","513",
"Zfp809","71307184",
"1700019J19Rik","71919547",
"Ablim2","71495203",
"Nbas","68862114",
"Slc16a6","2582",
"Lynx1","656",
"1700073E17Rik","70525773",
"Itgam","69735604",
"Abhd1","68321976",
"Zfp820","68445895",
"Tekt5","74635749",
"Klk1b9","79904776",
"Dnajc18","69095955",
"Tbl3","77620373",
"Gnas","511",
"LOC545465","70919418",
"Egln1","70473879",
"A830018L16Rik","71789970",
"Ccdc105","69442434",
"1110012D08Rik","68795423",
"Mei1","70300300",
"Fam174a","70429495",
"Zc3h18","67978512",
"Stub1","71608348",
"4930412F15Rik","72182945",
"Vac14","80525751",
"Taar3","73573235",
"Cacng7","70723375",
"Htr7","71393436",
"1700024B05Rik","71378046",
"TC1445293","70795515",
"Lmo2","2384",
"LOC433436","75931530",
"Emp3","68076548",
"A930005L06Rik*","73808312",
"4933403O08Rik","70717364",
"Shmt1","68562951",
"Gm6377","73906304",
"Cnksr1","69568788",
"4930435E12Rik","72182964",
"D630044L22Rik","71809437",
"F630119A15Rik*","73748923",
"G3bp1","68301192",
"N4bp1","73906053",
"Eif1b","74357596",
"Tle2","74359712",
"LOC385492","71456096",
"Rnf25","70523811",
"Speer8-ps1","71892125",
"Rapgef6","71210154",
"Fbxw5","393240",
"Tarsl2","70430784",
"Pcid2","69448972",
"Me1","75695655",
"Qpctl","75831771",
"Prdm9","67765700",
"Fam161a","73818789",
"Astn1","71570735",
"Sema4g","68924739",
"Reck","69818066",
"Tbc1d30","72283432",
"Ubxn8","69173364",
"Emp2","69838242",
"Ppp1r14a","70546384",
"Scamp3","75695653",
"B4galt6","2056",
"Mypop","73423887",
"Crebzf","70813359",
"Irx3","81654099",
"Camp","69540321",
"Gas6","68443142",
"Dpp10","68843865",
"Nme4","68443519",
"Prrg3","69672946",
"Plp1","75496148",
"Cxxc1","68498645",
"D330041B21Rik","73513684",
"Ccr4","77793171",
"Rbm7","69818036",
"Cox16","633690",
"Mrps11","68162218",
"Ube2ql1","69407445",
"Mis12","68498355",
"Ogdh","68193022",
"Cdc14b","76081085",
"Efcab6","68918697",
"A830036E02Rik","71212268",
"Coro1b","69568962",
"A130010J15Rik","69014560",
"Gabarap","2246",
"Grhpr","68269712",
"Wasf2","70194958",
"Fam65b","70227902",
"Rnf112","393241",
"Gm6658","74822588",
"Lrrc40","632516",
"Gadd45b","75750310",
"5430440L12Rik","71147912",
"Prpsap2","74357602",
"Defb50","73513705",
"6330410L21Rik","71210472",
"Rangrf","68162257",
"9530056K15Rik","71494647",
"Zfp82","71488919",
"Zfp560","71213874",
"LOC545070","74736408",
"Mut","76098394",
"Ppm1n","71574600",
"Dot1l","73731295",
"Rcor1","69838430",
"Dnahc7","70298561",
"Tmem116","68446021",
"Nox4","68446069",
"Rnpc3","583856",
"Atf5","73716662",
"Usp40","71211991",
"LOC433975","72076551",
"Vit","76081041",
"Dip2c","70946185",
"4930562A09Rik","70218384",
"Ppic","70546378",
"Vmn1r75","70785678",
"Atp8b2","69527006",
"Zscan2","68745191",
"Pi4k2a","75692868",
"Hist1h3f","69816589",
"2010300C02Rik","75695669",
"Fshb","69174427",
"Plcg2","68160832",
"Epb4.1l4a","72472385",
"Serpinb3a","73818791",
"Tstd2","69028701",
"Clip3","71380483",
"Man2a1","69201564",
"0610007C21Rik","69113518",
"4930548H24Rik","71892077",
"Myo15b","72076545",
"Ccdc8","70787438",
"Isg20","68498696",
"6820433M10Rik*","73927637",
"Ascl3","70723363",
"Naglu","68861870",
"LOC433015","77621722",
"Tmtc3","69527752",
"E430033C13Rik*","74300765",
"Col14a1","69863307",
"C730034F03Rik","71496270",
"Ercc6l","70528306",
"Dppa5a","69671600",
"LOC640526","74580966",
"Bahcc1","75988301",
"Hs3st2","70724834",
"Rbm6","68562988",
"Setd2","69529053",
"Ubap2l","67767439",
"Snph","69885582",
"Hoxa9","576",
"Pusl1","70786833",
"LOC545142","74736414",
"Arl5b","74277354",
"Ephb1","79677367",
"Pkmyt1","76135614",
"Mm.347812","71161078",
"Trfr2","79541439",
"Spata2L","70203531",
"Ndst2","71234619",
"Fezf1","70593146",
"Ap1b1","76081931",
"Prpf3","76081905",
"Rab3gap2","69015302",
"Mlh3","69134505",
"Aldh16a1","68321880",
"Dpysl3","71608207",
"Vtn","68196963",
"Itgav","69735610",
"AA792892","70228669",
"C1qc","70430916",
"Pvalb","75457581",
"C1ra","68191348",
"9530009G21Rik","70228179",
"Rbm47","68341292",
"Polr1a","68666900",
"Zbtb25","72471814",
"Sept7","962",
"LOC433697","70786667",
"Dpp3","532634",
"Zc3h12c","70595726",
"Rsc1a1","68743733",
"Hoxc4","73606503",
"LOC381400","70596053",
"Shox2","71325456",
"Vkorc1l1","76081920",
"Cct8l1","69114646",
"Pvrl3","100055055",
"Acvr2b","69514732",
"Atp6v0d1","564647",
"Gm414","71764751",
"Pdik1l","68148757",
"Rassf9","68744468",
"Klra2","75861005",
"Lamp2","69736028",
"Rnf141","564645",
"Pdk3","2475",
"Spata2","68196913",
"Guf1","74562230",
"Tdo2","70565321",
"Dok7","71569247",
"H2-Aa","68410237",
"Lrrc30","70296062",
"Tctex1d4","75985970",
"Atp5j","125",
"F630110N24Rik","69407911",
"A930005I04Rik","71021006",
"Med13","70611054",
"Zfp652","71213298",
"Ascc3","80471940",
"Cdc23","69261958",
"LOC433896","70787071",
"Gpr37l1","69257546",
"Asb3","199219",
"Adi1","633688",
"Fat3","79394326",
"Id4","73497044",
"Speer7-ps1","75197785",
"1700010H22Rik","75934507",
"Camta2","69540339",
"Ap3m1","68498337",
"Zfp830","27",
"Zfp804b","70295560",
"Nuf2","229",
"Pars2","69059867",
"LOC433353","70723181",
"Rps27l","75831731",
"Plxnd1","69816326",
"Sytl3","2654",
"1110058L19Rik","68441574",
"Hspb2","69735150",
"Orc3l","69174433",
"Uba6","69838360",
"Ehd2","70528635",
"Dpt","68920884",
"Abcc5","69236628",
"Cdh18","70611407",
"Tmem89","71378056",
"Ik","68443351",
"Wdfy2","70194970",
"Has2","74277703",
"1810027O10Rik","69407110",
"A530010L16Rik","72183004",
"Commd6","74580978",
"Asb3","81599634",
"BC017612","71654134",
"Pbx1","71763546",
"Slc6a8","69874030",
"Akr1c18","77793155",
"Npas1","74821618",
"Vsig2","75214944",
"Zfp91","71152623",
"4930483J18Rik","71892149",
"Lime1","68148758",
"Mboat1","69549150",
"3110021N24Rik","74359407",
"Nol10","73497615",
"Gm13749","70723086",
"Acvr1","69514714",
"Apon","68499087",
"Paqr4","77620369",
"Nrcam","173",
"Bmpr2","69529382",
"Rpph1","73573139",
"Rsrc2","73497678",
"1110037F02Rik","70445389",
"Gm1550","70298369",
"Cdk18","69782879",
"Ets1","2200",
"Tmem2","641532",
"Clip2","2138",
"Cdkl1","69540701",
"Srebf2","70439177",
"C130079K02Rik*","73811633",
"Fam98b","72471705",
"Krt32","70724888",
"Fam170a","71587751",
"Angptl1","70230933",
"Rpusd4","70919191",
"Fam120a","70813167",
"Tmem184b","68745534",
"Rnf138","75990838",
"Neurl1a","69838288",
"Ube2d3","69015386",
"Slc22a5","69173376",
"4930591A17Rik","71892023",
"Chaf1a","69548891",
"Calb2","75492322",
"1700049L16Rik","75851040",
"Rax","1821",
"LOC433823","70786858",
"D6Ertd474e","70238716",
"Traf6","68844534",
"Tmem2","1410",
"Ppp1cc","513023",
"Marcks","71487124",
"Fkbp6","2223",
"Lrrc39","69446899",
"Vps18","1326",
"Mlf2","513491",
"Dnase1l1","68445071",
"Nucks1","68162273",
"Doc2b","69627072",
"Nxn","513479",
"Podxl","69816392",
"Akr1c14","68321958",
"Nrap","74059223",
"Polr1b","71377753",
"Mmgt1","199145",
"D330046F09Rik","74276866",
"Rfc4","67979048",
"Rps6kb2","69169349",
"Mlec","70474929",
"Olfr564","74724193",
"Rinl","69838405",
"Ckap4","69548964",
"Stbd1","69608977",
"Tssk2","69116823",
"Scnn1b","69288321",
"Zscan21","79541418",
"4933413A10Rik","73513302",
"Erlec1","583854",
"Vmn1r-ps8","70785254",
"A730049H05Rik","69446274",
"Vmn1r195","70785708",
"Dnajb12","2154",
"Klhl25","74359455",
"Gm684","70298232",
"Nos1ap","74580841",
"Ap3b1","69059806",
"Tmem106c","68745456",
"Chpf","71580180",
"Ikzf1","1146",
"Dlgap1","70528599",
"Pcdh20","70437834",
"Nkain3","70239009",
"Gm426","73712792",
"Dcaf10","68546470",
"Pvalb","75496191",
"Cenpw","69202872",
"5930416I19Rik","69444729",
"Rbm15","73617480",
"Cuedc2","71608215",
"Mapkap1","68301329",
"C130075H21Rik*","73811645",
"3110033I20Rik*","74359604",
"Pik3ca","70813341",
"Ica1","2310",
"Tap2","68300878",
"Nmt1","76097709",
"Gm962","70298507",
"Acadvl","68203485",
"Pkhd1","69783232",
"Gm906","72472484",
"Enah","70920003",
"Rai12","68269065",
"Eif3g","81599612",
"TC1548724","70919035",
"LOC238766","70725019",
"Rabep2","1971",
"Enpp1","71381028",
"2700062C07Rik","75750457",
"Plp1","75492714",
"Naf1","69529161",
"Eya2","632517",
"Spats1","77924440",
"E330034G19Rik","71496528",
"Tipin","68410195",
"D630005B22Rik","71809430",
"Grin1","534",
"Celsr2","69237065",
"Zmym6","74277665",
"Fam122a","68522448",
"Hipk4","70295942",
"EG433662","70786640",
"4933421E11Rik","69443202",
"Nars2","68523231",
"H2-T22","68076531",
"Fetub","68638119",
"Amotl2","68162203",
"Cyp2c37","69028366",
"Cyb5","76098399",
"Brd9","71213093",
"Tyro3","69201612",
"Pdlim4","68545735",
"Dnahc2","69608917",
"F630028O10Rik*","73748890",
"Zic1","79677351",
"Ewsr1","409",
"1700008P02Rik","71919421",
"Gcm2","69289051",
"Pllp","1881",
"Mcm9","69752131",
"Timm17a","80471955",
"Pldi","71920219",
"Gm333","80514151",
"F730015K02Rik","69672222",
"Nsmaf","71234677",
"Asl","74990535",
"A230083A21Rik*","73949608",
"Oxsm","69443220",
"Olfr555","74724175",
"Mrps27","68797514",
"Zfp94","80513978",
"Ube2t","199146",
"2310039L15Rik","71991804",
"Gmip","68843853",
"C1galt1","68743775",
"Nfkbia","69782222",
"Uqcrq","68161463",
"Enc1","391",
"Gatsl2","70545919",
